id,price,bedrooms,bathrooms,sqft_living,floors,yr_built
7129300520,221900,3,1,1180,1,1955
6414100192,538000,3,2.25,2570,2,1951
5631500400,180000,2,1,770,1,1933
2487200875,604000,4,3,1960,1,1965
1954400510,510000,3,2,1680,1,1987
7237550310,1.23E+06,4,4.5,5420,1,2001
1321400060,257500,3,2.25,1715,2,1995
2008000270,291850,3,1.5,1060,1,1963
2414600126,229500,3,1,1780,1,1960
3793500160,323000,3,2.5,1890,2,2003
1736800520,662500,3,2.5,3560,1,1965
9212900260,468000,2,1,1160,1,1942
114101516,310000,3,1,1430,1.5,1927
6054650070,400000,3,1.75,1370,1,1977
1175000570,530000,5,2,1810,1.5,1900
9297300055,650000,4,3,2950,2,1979
1875500060,395000,3,2,1890,2,1994
6865200140,485000,4,1,1600,1.5,1916
16000397,189000,2,1,1200,1,1921
7983200060,230000,3,1,1250,1,1969
6300500875,385000,4,1.75,1620,1,1947
2524049179,2.00E+06,3,2.75,3050,1,1968
7137970340,285000,5,2.5,2270,2,1995
8091400200,252700,2,1.5,1070,1,1985
3814700200,329000,3,2.25,2450,2,1985
1202000200,233000,3,2,1710,1.5,1941
1794500383,937000,3,1.75,2450,2,1915
3303700376,667000,3,1,1400,1.5,1909
5101402488,438000,3,1.75,1520,1,1948
1873100390,719000,4,2.5,2570,2,2005
8562750320,580500,3,2.5,2320,2,2003
2426039314,280000,2,1.5,1190,3,2005
461000390,687500,4,1.75,2330,1.5,1929
7589200193,535000,3,1,1090,1.5,1929
7955080270,322500,4,2.75,2060,1,1981
9547205180,696000,3,2.5,2300,1.5,1930
9435300030,550000,4,1,1660,1,1933
2768000400,640000,4,2,2360,2,1904
7895500070,240000,4,1,1220,1,1969
2078500320,605000,4,2.5,2620,2,1996
5547700270,625000,4,2.5,2570,2,2000
7766200013,775000,4,2.25,4220,1,1984
7203220400,861990,5,2.75,3595,2,2014
9270200160,685000,3,1,1570,2,1922
1432701230,309000,3,1,1280,1,1959
8035350320,488000,3,2.5,3160,2,2003
8945200830,210490,3,1,990,1,1966
4178300310,785000,4,2.5,2290,2,1981
9215400105,450000,3,1.75,1250,1,1953
822039084,1.35E+06,3,2.5,2753,1,1953
5245600105,228000,3,1,1190,1,1955
7231300125,345000,5,2.5,3150,1,1966
7518505990,600000,3,1.75,1410,1,1950
3626039271,585000,2,1.75,1980,1,1981
4217401195,920000,5,2.25,2730,1.5,1927
9822700295,885000,4,2.5,2830,2,1995
9478500640,292500,4,2.5,2250,2,2008
2799800710,301000,3,2.5,2420,2,2003
7922800400,951000,5,3.25,3250,2,1968
8079040320,430000,4,3,1850,2,1991
1516000055,650000,3,2.25,2150,1,1959
9558200045,289000,3,1.75,1260,1,1954
5072410070,505000,3,1.75,2519,2,1973
9528102996,549000,3,1.75,1540,3,2014
1189001180,425000,3,2.25,1660,1,1979
3253500160,317625,3,2.75,2770,1.5,1925
3394100030,975000,4,2.5,2720,2,1989
3717000160,287000,4,2.5,2240,2,2005
1274500060,204000,3,1,1000,1,1968
1802000060,1.33E+06,5,2.25,3200,1,1965
1525059190,1.04E+06,5,3.25,4770,1,1973
1049000060,325000,3,2,1260,1,1972
8820901275,571000,4,2,2750,1.5,1916
5416510140,360000,4,2.5,2380,2,2005
3444100400,349000,3,1.75,1790,1,1965
3276920270,832500,4,4,3430,2,1986
4036801170,380000,4,1.75,1760,1,1956
2391600320,480000,3,1,1040,1,1941
6300000287,410000,3,1,1410,1,1956
1531000030,720000,4,2.5,3450,2,2002
5104520400,390000,3,2.5,2350,2,2003
7437100340,360000,4,2.5,1900,2,1992
9418400240,355000,2,1,2020,1,1948
1523059105,356000,3,1.5,1680,1,1964
1133000671,315000,3,1,960,1,1952
4232902595,940000,3,1.5,2140,2,1925
2599001200,305000,5,2.25,2660,1.5,1961
3342103156,461000,3,3.25,2770,2,2006
1332700270,215000,2,2.25,1610,2,1979
3869900162,335000,2,1.75,1030,2,2006
2791500270,243500,4,2.5,1980,2,1988
5036300431,1.10E+06,5,2.75,3520,2,2001
4168000060,153000,3,1,1200,1,1962
6021501535,430000,3,1.5,1580,1,1939
6021501535,700000,3,1.5,1580,1,1939
1483300570,905000,4,2.5,3300,1,1946
3422049190,247500,3,1.75,1960,1,1967
1099611230,199000,4,1.5,1160,1,1975
722079104,314000,3,1.75,1810,1,1980
7338200240,437500,3,2.5,2320,2,1992
1952200240,850830,3,2.5,2070,1.5,1910
5200100125,555000,3,2,1980,1.5,1929
7214720075,699950,3,2.25,2190,2,1983
2450000295,1.09E+06,3,2.5,2920,2,1950
6197800045,290000,3,1,1210,1,1954
1328310370,375000,3,2.5,2340,1,1978
546000875,460000,3,1,1670,1.5,1939
3530510041,188500,2,1.75,1240,1,1985
1853000400,680000,4,2.5,3140,2,1991
3134100116,470000,5,1.75,2030,2,1942
9545230140,597750,4,2.5,2310,2,1984
3362400511,570000,3,1.75,1260,1,1905
2525310310,272500,3,1.75,1540,1,1980
6126500060,329950,3,1.75,2080,1,1971
8961960160,480000,4,2.5,3230,2,2001
3626039325,740500,3,3.5,4380,2,1900
3362400431,518500,3,3.5,1590,3,2010
4060000240,205425,2,1,880,1,1945
3454800060,171800,4,2,1570,1,1950
1695900060,535000,4,1,1610,1.5,1925
7278700070,660000,3,2.5,2400,1,1964
6675500070,391500,3,2,1450,1,1987
3626039187,395000,2,1,770,1,1953
3524049083,445000,4,1.75,2100,1.5,1924
3275860240,770000,3,2.25,2910,2,1990
4389200955,1.45E+06,4,2.75,2750,1.5,1914
4058801670,445000,3,2.25,2100,1,1967
8732020310,260000,4,2.25,2160,1,1978
2331300505,822500,5,3.5,2320,2,1926
7853210060,430000,4,2.5,2070,2,2004
3668000070,212000,3,1.75,1060,1,1986
9545240070,660500,4,2.25,2010,1,1986
